index,ATR_mult,ATR_num,fast_MA,slow_MA,use_fast_SMA,use_slow_SMA,total_R
293,3.0,30,28,70,1,1,0.678
294,2.0,30,28,70,1,1,-0.02
295,1.0,30,34,70,1,1,-5.354
296,0.6,30,34,70,1,1,-10.74
297,2.0,30,34,70,1,1,-4.374
298,1.5,30,34,70,1,1,-4.797
299,3.0,30,34,70,1,1,-0.959
300,1.0,30,43,70,1,1,14.74
301,0.6,30,43,70,1,1,27.663
302,1.5,30,43,70,1,1,9.25
303,2.0,30,43,70,1,1,6.406
304,3.0,30,43,70,1,1,3.061
305,0.6,30,9,90,1,1,-11.638
306,1.0,30,9,90,1,1,-9.185
307,1.5,30,9,90,1,1,-5.34
308,2.0,30,9,90,1,1,-4.84
309,3.0,30,9,90,1,1,-3.672
310,0.6,30,18,90,1,1,-7.7
311,1.0,30,18,90,1,1,-6.51
312,2.0,30,18,90,1,1,-6.101
313,1.5,30,18,90,1,1,-5.195
314,3.0,30,18,90,1,1,-4.451
315,0.6,30,28,90,1,1,-16.599
316,1.0,30,28,90,1,1,-8.068
317,1.5,30,28,90,1,1,-6.172
318,3.0,30,28,90,1,1,-3.921
319,2.0,30,28,90,1,1,-3.953
320,0.6,30,34,90,1,1,-9.773
321,1.0,30,34,90,1,1,-6.243
322,1.5,30,34,90,1,1,-2.507
323,2.0,30,34,90,1,1,-2.144
324,3.0,30,34,90,1,1,-3.177
325,1.0,30,43,90,1,1,-5.607
326,0.6,30,43,90,1,1,-7.549
327,1.5,30,43,90,1,1,-2.632
328,2.0,30,43,90,1,1,-2.201
329,3.0,30,43,90,1,1,-3.292
330,0.6,40,9,30,1,1,21.244
331,1.0,40,9,30,1,1,24.735
332,1.5,40,9,30,1,1,16.972
333,2.0,40,9,30,1,1,13.195
334,3.0,40,9,30,1,1,8.797
335,0.6,40,18,30,1,1,7.729
336,1.5,40,18,30,1,1,6.435
337,1.0,40,18,30,1,1,12.974
338,2.0,40,18,30,1,1,5.906
339,3.0,40,18,30,1,1,2.896
340,0.6,40,28,30,1,1,25.78
341,1.0,40,28,30,1,1,10.214
342,1.5,40,28,30,1,1,9.961
343,2.0,40,28,30,1,1,6.671
344,3.0,40,28,30,1,1,3.894
345,0.6,40,9,40,1,1,-2.519
346,1.0,40,9,40,1,1,9.963
347,1.5,40,9,40,1,1,8.914
348,2.0,40,9,40,1,1,6.147
349,3.0,40,9,40,1,1,4.344
350,0.6,40,18,40,1,1,21.056
351,1.5,40,18,40,1,1,11.551
352,1.0,40,18,40,1,1,14.595
353,2.0,40,18,40,1,1,7.765
354,3.0,40,18,40,1,1,4.749
355,0.6,40,28,40,1,1,-5.548
356,1.5,40,28,40,1,1,2.853
357,2.0,40,28,40,1,1,3.617
358,1.0,40,28,40,1,1,2.411
359,3.0,40,28,40,1,1,1.852
360,0.6,40,34,40,1,1,3.447
361,1.0,40,34,40,1,1,-2.224
362,1.5,40,34,40,1,1,0.759
363,2.0,40,34,40,1,1,-0.186
364,3.0,40,34,40,1,1,2.214
365,1.0,40,9,60,1,1,-6.845
366,0.6,40,9,60,1,1,-6.016
367,1.5,40,9,60,1,1,3.435
368,2.0,40,9,60,1,1,2.991
369,3.0,40,9,60,1,1,3.935
370,0.6,40,18,60,1,1,14.027
371,1.0,40,18,60,1,1,7.692
372,2.0,40,18,60,1,1,1.087
373,1.5,40,18,60,1,1,5.4
374,3.0,40,18,60,1,1,1.346
375,1.0,40,28,60,1,1,5.109
376,0.6,40,28,60,1,1,11.656
377,1.5,40,28,60,1,1,3.321
378,2.0,40,28,60,1,1,1.985
379,3.0,40,28,60,1,1,0.875
380,0.6,40,34,60,1,1,-3.527
381,1.0,40,34,60,1,1,-4.827
382,1.5,40,34,60,1,1,-4.358
383,2.0,40,34,60,1,1,-3.864
384,3.0,40,34,60,1,1,-2.409
385,0.6,40,43,60,1,1,15.407
386,1.0,40,43,60,1,1,12.399
387,1.5,40,43,60,1,1,6.281
388,2.0,40,43,60,1,1,3.828
389,3.0,40,43,60,1,1,2.914
390,0.6,40,9,70,1,1,14.776
391,1.0,40,9,70,1,1,10.179
392,3.0,40,9,70,1,1,2.375
393,1.5,40,9,70,1,1,6.882
394,2.0,40,9,70,1,1,4.593
395,0.6,40,18,70,1,1,17.855
396,1.0,40,18,70,1,1,8.933
397,1.5,40,18,70,1,1,5.998
398,2.0,40,18,70,1,1,1.878
399,3.0,40,18,70,1,1,1.049
400,0.6,40,28,70,1,1,6.205
401,1.0,40,28,70,1,1,2.795
402,1.5,40,28,70,1,1,1.115
403,3.0,40,28,70,1,1,0.553
404,2.0,40,28,70,1,1,-0.237
405,1.0,40,34,70,1,1,-5.65
406,0.6,40,34,70,1,1,-10.829
407,1.5,40,34,70,1,1,-5.416
408,2.0,40,34,70,1,1,-4.536
409,3.0,40,34,70,1,1,-1.076
410,1.0,40,43,70,1,1,14.085
411,0.6,40,43,70,1,1,26.589
412,1.5,40,43,70,1,1,8.831
413,2.0,40,43,70,1,1,6.1
414,3.0,40,43,70,1,1,2.827
415,0.6,40,9,90,1,1,-11.285
416,2.0,40,9,90,1,1,-4.872
417,1.5,40,9,90,1,1,-5.396
418,1.0,40,9,90,1,1,-9.008
419,3.0,40,9,90,1,1,-3.697
420,0.6,40,18,90,1,1,-7.434
421,1.5,40,18,90,1,1,-5.025
422,1.0,40,18,90,1,1,-6.292
423,2.0,40,18,90,1,1,-5.931
424,3.0,40,18,90,1,1,-4.338
425,0.6,40,28,90,1,1,-16.629
426,1.0,40,28,90,1,1,-8.186
427,1.5,40,28,90,1,1,-6.042
