index,ATR_mult,ATR_num,BB_std_dev,BB_window,total_R
350,1.0,30,1.0,26,-25.974
351,1.5,30,1.0,26,-19.672
352,2.0,30,1.0,26,-13.396
353,2.5,30,1.0,26,-14.3
354,3.0,30,1.0,26,-11.353
355,1.0,30,1.4,26,-46.846
356,1.5,30,1.4,26,-30.722
357,2.0,30,1.4,26,-23.279
358,2.5,30,1.4,26,-16.705
359,3.0,30,1.4,26,-15.155
360,1.5,30,1.8,26,-21.818
361,1.0,30,1.8,26,-31.868
362,2.0,30,1.8,26,-17.066
363,2.5,30,1.8,26,-10.136
364,3.0,30,1.8,26,-8.657
365,1.5,30,2.4,26,-7.311
366,1.0,30,2.4,26,-14.767
367,2.0,30,2.4,26,-7.979
368,3.0,30,2.4,26,-5.713
369,2.5,30,2.4,26,-9.201
370,1.5,30,3.0,26,0.286
371,1.0,30,3.0,26,-5.8
372,2.0,30,3.0,26,0.215
373,2.5,30,3.0,26,-0.394
374,3.0,30,3.0,26,-0.328
375,1.0,30,1.0,36,-19.844
376,1.5,30,1.0,36,-15.997
377,2.0,30,1.0,36,-9.003
378,3.0,30,1.0,36,-8.641
379,2.5,30,1.0,36,-10.379
380,1.0,30,1.4,36,-22.88
381,2.0,30,1.4,36,-8.913
382,1.5,30,1.4,36,-11.263
383,3.0,30,1.4,36,-9.222
384,2.5,30,1.4,36,-11.432
385,1.0,30,1.8,36,-22.499
386,1.5,30,1.8,36,-8.646
387,2.0,30,1.8,36,-5.207
388,2.5,30,1.8,36,-4.354
389,3.0,30,1.8,36,-5.845
390,1.0,30,2.4,36,8.68
391,1.5,30,2.4,36,5.345
392,2.0,30,2.4,36,1.792
393,2.5,30,2.4,36,-0.056
394,3.0,30,2.4,36,-0.793
395,1.5,30,3.0,36,-6.896
396,1.0,30,3.0,36,-8.02
397,2.0,30,3.0,36,-5.89
398,2.5,30,3.0,36,-3.997
399,3.0,30,3.0,36,-3.623
400,1.0,30,1.0,46,-22.537
401,1.5,30,1.0,46,-11.274
402,2.0,30,1.0,46,-7.723
403,2.5,30,1.0,46,-8.018
404,3.0,30,1.0,46,-7.245
405,1.0,30,1.4,46,-3.947
406,1.5,30,1.4,46,-0.541
407,2.0,30,1.4,46,-5.809
408,2.5,30,1.4,46,-4.89
409,3.0,30,1.4,46,1.914
410,1.0,30,1.8,46,-20.224
411,1.5,30,1.8,46,-5.832
412,2.0,30,1.8,46,-4.114
413,2.5,30,1.8,46,-5.109
414,3.0,30,1.8,46,-4.265
415,1.0,30,2.4,46,-3.425
416,1.5,30,2.4,46,-5.545
417,2.0,30,2.4,46,-6.103
418,3.0,30,2.4,46,-3.598
419,2.5,30,2.4,46,-3.345
420,1.5,30,3.0,46,-7.802
421,1.0,30,3.0,46,-8.221
422,2.0,30,3.0,46,-6.86
423,2.5,30,3.0,46,-6.753
424,3.0,30,3.0,46,-5.627
425,1.0,30,1.0,56,-1.527
426,1.5,30,1.0,56,-2.73
427,2.0,30,1.0,56,-3.75
428,2.5,30,1.0,56,1.417
429,3.0,30,1.0,56,0.239
430,1.0,30,1.4,56,2.831
431,2.0,30,1.4,56,-1.619
432,1.5,30,1.4,56,2.832
433,2.5,30,1.4,56,-0.815
434,3.0,30,1.4,56,0.148
435,1.0,30,1.8,56,-20.667
436,1.5,30,1.8,56,-15.69
437,2.0,30,1.8,56,-12.391
438,2.5,30,1.8,56,-5.555
439,3.0,30,1.8,56,-5.587
440,1.0,30,2.4,56,10.223
441,1.5,30,2.4,56,9.803
442,2.0,30,2.4,56,4.706
443,2.5,30,2.4,56,1.789
444,3.0,30,2.4,56,1.245
445,1.5,30,3.0,56,-8.937
446,1.0,30,3.0,56,-8.937
447,2.0,30,3.0,56,-8.626
448,2.5,30,3.0,56,-7.557
449,3.0,30,3.0,56,-6.48
450,1.5,50,1.0,14,-35.956
451,2.0,50,1.0,14,-26.433
452,1.0,50,1.0,14,-46.143
453,2.5,50,1.0,14,-22.192
454,3.0,50,1.0,14,-22.589
455,1.0,50,1.4,14,-32.982
456,1.5,50,1.4,14,-28.008
457,2.5,50,1.4,14,-17.886
458,3.0,50,1.4,14,-17.438
459,2.0,50,1.4,14,-23.973
460,1.0,50,1.8,14,-21.19
